Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Deandre Ayton,C,72,27.2,5.6,8.3,0.671,0,0,,5.6,8.3,0.671,0.671,1.3,2,0.645,2.6,5.4,8,0.8,0.6,1,1.2,2.2,12.5,8.1,18.2,6.2
Moussa Cisse,C,38,13.9,1.7,3,0.574,0,0,,1.7,3,0.574,0.574,1,2.1,0.469,2.3,3.3,5.7,0.2,0.5,1.2,0.8,1.9,4.5,0.1,16,1.3
Steven Adams,C,32,22.8,2.2,4.3,0.504,0,0,,2.2,4.3,0.504,0.504,1.5,2.5,0.58,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,14.1,15.8,2.1
Mark Williams,C,60,23.6,4.7,7.3,0.644,0,0,1,4.7,7.3,0.643,0.645,2.3,2.9,0.771,3.1,4.9,8,1,0.9,0.9,1.1,2.2,11.7,6.3,21.8,6.3
Trayce Jackson-Davis,C,36,11.4,1.7,2.8,0.588,0,0,1,1.6,2.8,0.584,0.593,0.8,1.4,0.558,1.3,1.8,3.1,0.9,0.4,0.5,0.5,1.1,4.2,2.2,16.6,1.4
Ivica Zubac,C,43,30.9,6.1,10,0.613,0,0,,6.1,10,0.613,0.613,2.2,3.1,0.705,3.4,7.6,11,2.2,0.4,0.8,1.9,2.4,14.4,18.9,18.6,4.2
Clint Capela,C,75,12.3,1.6,3,0.52,0,0,0.5,1.6,3,0.52,0.522,0.6,1,0.577,2.1,2.5,4.6,0.7,0.5,0.8,0.5,1,3.8,6.7,17.9,3
Luke Kornet,C,68,21,2.6,4,0.643,0,0,,2.6,4,0.643,0.643,1.4,1.7,0.825,2.7,3.4,6.1,1.9,0.5,1,0.4,1.8,6.5,11,17.9,6.9
Mitchell Robinson,C,60,19.6,2.5,3.4,0.723,0,0,,2.5,3.4,0.723,0.723,0.7,1.7,0.408,4.2,4.6,8.8,0.9,0.9,1.2,0.7,2.1,5.7,12.9,21.1,5.8
Yves Missi,C,66,19.7,2.4,4.5,0.544,0,0,0,2.4,4.4,0.546,0.544,0.9,1.5,0.559,2.8,3.1,5.8,1.3,0.3,1.5,0.8,1.7,5.7,3.4,15,2.7
Jalen Duren,C,70,28.2,7.5,11.5,0.65,0,0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2,0.8,0.8,1.9,2.8,19.5,6.5,26.1,11
Jakob Poeltl,C,46,25,4.7,6.7,0.7,0,0,,4.7,6.7,0.7,0.7,1.3,2.1,0.602,2.5,4.5,7,2,0.9,0.7,1.2,3.2,10.7,19.5,18.1,4.3
Daniel Gafford,C,55,21.7,3.8,5.7,0.655,0,0,,3.8,5.7,0.655,0.655,2,2.9,0.683,2.5,4.4,6.9,1.1,0.8,1.3,1.1,2.6,9.5,14.4,18.8,4.1
Moussa Diabaté,C,73,26,3.1,5,0.631,0,0,0.5,3.1,4.9,0.632,0.632,1.6,2.4,0.659,3.7,5,8.7,1.9,0.8,1,1,2.4,7.9,2.3,17.2,7.4
Jaxson Hayes,C,66,18.3,3,4,0.756,0,0,,3,3.9,0.753,0.761,1.5,2.3,0.653,1.5,2.6,4.1,0.9,0.4,0.8,0.5,1.9,7.5,3.4,18.3,5
Jericho Sims,C,67,19.7,2.2,2.8,0.784,0,0,,2.2,2.8,0.784,0.784,0.7,1.1,0.62,2.2,3.3,5.5,1.6,0.3,0.3,1.1,2.2,5,2.5,12.9,3.2
Isaiah Jackson,C,38,16.8,2.5,4.3,0.582,0,0,0,2.5,4.3,0.585,0.582,1.3,1.9,0.689,2.3,3.3,5.6,0.8,0.7,0.8,1.1,2.8,6.4,7.6,17.3,2.6
Ariel Hukporti,C,54,9.2,0.8,1.5,0.563,0,0.1,0.25,0.8,1.4,0.579,0.569,0.5,0.6,0.788,1,1.9,2.9,0.5,0.2,0.5,0.6,1.2,2.2,1.9,11.9,1.2
Rudy Gobert,C,76,31.3,4.4,6.5,0.682,0,0.1,0,4.4,6.4,0.689,0.682,2.1,4,0.526,3.9,7.5,11.5,1.7,0.8,1.6,1.4,2.6,10.9,35,17.5,8.7
Yanic Konan Niederhauser,C,41,10.3,1.6,2.4,0.64,0,0.1,0,1.5,2.3,0.663,0.645,1.1,1.5,0.758,0.9,2,2.9,0.3,0.1,0.7,0.6,1.6,4.3,2.7,16.4,1.3
Tony Bradley,C,38,10.9,1.6,2.8,0.557,0,0.1,0.5,1.5,2.7,0.558,0.561,0.8,1.1,0.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4,0.1,12.8,0.9
Ryan Kalkbrenner,C,69,21.4,3.2,4.2,0.753,0,0.1,0,3.2,4.1,0.766,0.753,1.2,1.7,0.716,2.4,3,5.5,0.8,0.5,1.5,0.9,1.6,7.6,2.3,17.9,5.7
Adem Bona,C,71,17.4,1.8,3.1,0.595,0,0.1,0.333,1.8,3,0.603,0.6,1.1,1.6,0.708,1.8,2.5,4.3,0.5,0.4,1.2,0.8,2.2,4.8,1.9,12.8,2.9
Dwight Powell,C,63,14.3,1,1.6,0.644,0,0.1,0.286,1,1.5,0.67,0.653,1.2,1.8,0.696,1.5,2.6,4.1,1.1,0.5,0.3,0.7,2.1,3.3,4,12.6,2.6
Isaiah Hartenstein,C,47,24.2,3.9,6.3,0.622,0,0.1,0,3.9,6.1,0.637,0.622,1.4,2.2,0.61,3.2,6.3,9.4,3.5,1,0.8,1.7,2.5,9.2,28.5,19.8,5.3
Neemias Queta,C,76,25.3,4.3,6.6,0.653,0,0.1,0.125,4.3,6.5,0.662,0.654,1.6,2.3,0.703,3,5.3,8.4,1.7,0.8,1.3,1,2.8,10.2,2.3,20.3,9
Dylan Cardwell,C,44,20.6,2.4,4.1,0.587,0,0.1,0.5,2.3,4,0.589,0.592,0.6,1.2,0.51,3.3,4.2,7.5,1.4,0.7,1.5,0.9,3.7,5.4,0.9,15.8,2.3
Goga Bitadze,C,64,15.2,2.4,3.5,0.676,0,0.2,0.182,2.3,3.3,0.701,0.68,1.1,1.5,0.711,2.1,2.9,5,1.3,0.6,1,0.7,2.1,5.9,8.3,20.1,4.4
Jarrett Allen,C,56,27.1,6,9.4,0.638,0,0.2,0.1,6,9.3,0.649,0.639,3.3,4.7,0.709,2.6,5.9,8.5,1.8,1,0.8,1.3,1.7,15.4,20,22.1,6.4
Drew Eubanks,C,42,13.1,2.2,3.7,0.596,0,0.2,0.143,2.2,3.5,0.617,0.599,0.8,1.4,0.561,0.9,2.1,3,0.5,0.4,0.6,0.7,1.4,5.2,2.3,13.6,0.6
Nic Claxton,C,69,27.8,4.8,8.4,0.571,0,0.3,0.158,4.8,8.2,0.585,0.574,2,3.3,0.616,2.4,4.5,6.9,3.7,0.7,1.1,1.4,2.3,11.7,25.4,17.6,4.8
Robert Williams,C,59,17.1,3,4.2,0.708,0.2,0.4,0.391,2.8,3.8,0.74,0.726,0.6,1,0.596,2.4,4.6,7,1,0.6,1.5,0.8,1.3,6.7,13.3,22.1,4.5
Jonas Valan?i?nas,C,65,13.4,3.5,6,0.582,0.1,0.4,0.308,3.4,5.6,0.602,0.592,1.6,2.1,0.772,1.6,3.4,5.1,1.2,0.2,0.6,1.1,2,8.7,10.4,22,2.9
Khaman Maluach,C,46,8.9,1.2,2.3,0.533,0.1,0.5,0.238,1.1,1.8,0.607,0.557,0.5,0.7,0.71,1.1,1.8,2.9,0.1,0.1,0.7,0.5,0.9,3,6,14,0.8
Lachlan Olbrich,C,37,9.3,1,2.1,0.468,0.1,0.5,0.105,0.9,1.6,0.586,0.481,0.4,1.1,0.375,1.2,1.8,3,1.1,0.3,0.2,0.4,1.3,2.4,0.6,12,0.5
Paul Reed,C,65,13.9,3.2,5.2,0.617,0.2,0.6,0.325,3,4.6,0.656,0.636,1.1,1.7,0.664,2,2.5,4.5,1.2,0.9,0.9,0.9,1.8,7.8,5.3,24.2,4.5
Day'Ron Sharpe,C,62,18.7,3.5,5.7,0.601,0.1,0.6,0.231,3.3,5.1,0.647,0.614,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,,,
Maxime Raynaud,C,74,26.5,5.2,9.1,0.571,0.3,1,0.324,4.9,8.1,0.601,0.589,1.8,2.3,0.786,1.9,5.6,7.5,1.4,0.5,0.5,1.3,2.3,12.5,1.3,16,3.6
Yang Hansen,C,43,7,0.7,2.3,0.31,0.1,1,0.119,0.6,1.3,0.448,0.335,0.7,0.8,0.824,0.5,1.1,1.5,0.5,0.1,0.2,0.7,1,2.2,4.4,3.7,-0.5
Derik Queen,C,81,25,4.4,9.2,0.473,0.3,1.1,0.261,4.1,8.1,0.502,0.489,2.7,3.4,0.795,1.7,5.4,7.1,3.7,1,0.9,2.3,2.7,11.7,5.2,15.9,2.7
